index,status,categories,details
93,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['no-dd'], 'luna': ['bad-defaults-sum']}"
94,disagreement,,"{'Leica': ['positive-vote'], 'Nina': ['visual-prominence-vote'], 'luna': ['no-dd']}"
96,disagreement,,"{'Leica': ['conflicting-information-vote'], 'Nina': ['no-dd'], 'luna': ['conflicting-information-vote']}"
97,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['visual-prominence-vote', 'limited-time-vote'], 'luna': ['visual-prominence-vote']}"
98,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['pressured-selling-vote', 'no-way-back'], 'luna': ['visual-prominence-vote']}"
99,consensus,['no-dd'],
164,consensus,['no-dd'],
166,disagreement,,"{'Isha': ['low-stock-vote', 'false-hierarchy-vote', 'high-demand-vote'], 'Nazanin': ['information-without-context-vote', 'high-demand-vote', 'low-stock-vote'], 'Nina': ['low-stock-vote', 'high-demand-vote']}"
167,consensus,['no-dd'],
168,consensus,['visual-prominence-vote'],
169,disagreement,,"{'Isha': ['visual-prominence-vote', 'limited-time-vote'], 'Nazanin': ['endorsement-vote', 'limited-time-vote'], 'Nina': ['visual-prominence-vote']}"
170,disagreement,,"{'Isha': ['no-dd'], 'Nazanin': ['extra-burden'], 'Nina': ['no-dd']}"
171,disagreement,,"{'Isha': ['visual-prominence-vote', 'no-way-back'], 'Nazanin': ['no-way-back'], 'Nina': ['no-dd']}"
172,consensus,['no-dd'],
173,disagreement,,"{'Isha': ['information-without-context-vote'], 'Nazanin': ['hidden-information-sum'], 'Nina': ['information-without-context-vote', 'positive-vote']}"
174,disagreement,,"{'Isha': ['limited-time-vote'], 'Nazanin': ['limited-time-vote'], 'Nina': ['visual-prominence-vote', 'limited-time-vote']}"
175,disagreement,,"{'Isha': ['nagging-sum', 'endorsement-vote'], 'Nazanin': ['visual-prominence-vote', 'endorsement-vote'], 'Nina': ['visual-prominence-vote', 'endorsement-vote']}"
176,disagreement,,"{'Isha': ['positive-vote'], 'Nazanin': ['no-dd'], 'Nina': ['positive-vote']}"
177,disagreement,,"{'Isha': ['high-demand-vote', 'positive-vote', 'limited-time-vote'], 'Nazanin': ['complex-language-vote', 'high-demand-vote', 'positive-vote', 'limited-time-vote'], 'Nina': ['complex-language-vote', 'positive-vote', 'limited-time-vote']}"
178,disagreement,,"{'Isha': ['no-dd'], 'Nazanin': ['no-dd'], 'Nina': ['hidden-information-sum']}"
180,disagreement,,"{'Isha': ['no-dd'], 'Nazanin': ['confirmshaming-vote'], 'Nina': ['no-dd']}"
181,disagreement,,"{'Isha': ['confirmshaming-vote', 'positive-vote'], 'Nazanin': ['confirmshaming-vote'], 'Nina': ['visual-prominence-vote', 'confirmshaming-vote', 'positive-vote']}"
183,disagreement,,"{'Isha': ['false-hierarchy-vote'], 'Nazanin': ['visual-prominence-vote', 'no-way-back'], 'Nina': ['visual-prominence-vote', 'nagging-sum']}"
184,disagreement,,"{'Isha': ['forced-registration-sum', 'no-way-back'], 'Nazanin': ['forced-registration-sum'], 'Nina': ['forced-registration-sum']}"
185,disagreement,,"{'Isha': ['no-way-back', 'hidden-information-sum'], 'Nazanin': ['forced-registration-sum'], 'Nina': ['forced-registration-sum', 'hidden-information-sum']}"
187,disagreement,,"{'Isha': ['no-dd'], 'Nazanin': ['no-dd'], 'Nina': ['positive-vote']}"
188,consensus,['no-dd'],
189,disagreement,,"{'Isha': ['limited-time-vote'], 'Nazanin': ['limited-time-vote'], 'Nina': ['visual-prominence-vote', 'limited-time-vote']}"
190,disagreement,,"{'Isha': ['positive-vote'], 'Nazanin': ['visual-prominence-vote', 'false-hierarchy-vote'], 'Nina': ['positive-vote']}"
191,consensus,['no-dd'],
192,disagreement,,"{'Isha': ['visual-prominence-vote', 'limited-time-vote'], 'Nazanin': ['countdown-timer-vote', 'limited-time-vote'], 'Nina': ['visual-prominence-vote', 'countdown-timer-vote']}"
193,consensus,['no-dd'],
194,disagreement,,"{'Isha': ['visual-prominence-vote', 'limited-time-vote'], 'Nazanin': ['countdown-timer-vote', 'limited-time-vote'], 'Nina': ['visual-prominence-vote', 'countdown-timer-vote']}"
195,consensus,['forced-registration-sum'],
197,disagreement,,"{'Isha': ['visual-prominence-vote', 'limited-time-vote'], 'Nazanin': ['countdown-timer-vote', 'extra-burden', 'no-way-back', 'limited-time-vote'], 'Nina': ['visual-prominence-vote', 'countdown-timer-vote']}"
198,consensus,['no-dd'],
199,consensus,['no-dd'],
200,disagreement,,"{'Isha': ['hidden-information-sum'], 'Nazanin': ['forced-registration-sum', 'confirmshaming-vote'], 'Nina': ['forced-registration-sum', 'hidden-information-sum']}"
201,consensus,['no-dd'],
202,disagreement,,"{'Isha': ['information-without-context-vote', 'positive-vote'], 'Nazanin': ['nagging-sum', 'endorsement-vote', 'positive-vote'], 'Nina': ['positive-vote']}"
203,disagreement,,"{'Isha': ['hidden-information-sum'], 'Nazanin': ['forced-registration-sum'], 'Nina': ['forced-registration-sum']}"
204,consensus,['no-dd'],
205,disagreement,,"{'Isha': ['visual-prominence-vote', 'positive-vote'], 'Nazanin': ['disguised-ad-vote', 'visual-prominence-vote', 'positive-vote'], 'Nina': ['positive-vote']}"
206,disagreement,,"{'Isha': ['no-dd'], 'Nazanin': ['no-dd'], 'Nina': ['conflicting-information-vote']}"
207,disagreement,,"{'Isha': ['high-demand-vote', 'positive-vote'], 'Nazanin': ['disguised-ad-vote', 'high-demand-vote', 'endorsement-vote'], 'Nina': ['hidden-information-sum']}"
208,disagreement,,"{'Isha': ['forced-registration-sum'], 'Nazanin': ['forced-registration-sum'], 'Nina': ['hidden-information-sum']}"
209,consensus,['no-dd'],
210,disagreement,,"{'Isha': ['information-without-context-vote'], 'Nazanin': ['endorsement-vote'], 'Nina': ['information-without-context-vote']}"
211,disagreement,,"{'Isha': ['endorsement-vote'], 'Nazanin': ['no-dd'], 'Nina': ['no-dd']}"
212,disagreement,,"{'Isha': ['positive-vote', 'limited-time-vote'], 'Nazanin': ['parasocial-vote', 'positive-vote', 'limited-time-vote'], 'Nina': ['visual-prominence-vote']}"
213,disagreement,,"{'Isha': ['no-way-back'], 'Nazanin': ['extra-burden', 'dead-end-vote'], 'Nina': ['no-dd']}"
214,disagreement,,"{'Isha': ['no-way-back'], 'Nazanin': ['no-way-back'], 'Nina': ['no-dd']}"
215,disagreement,,"{'Isha': ['conflicting-information-vote', 'positive-vote'], 'Nazanin': ['no-dd'], 'Nina': ['no-dd']}"
216,consensus,['no-dd'],
217,disagreement,,"{'Isha': ['visual-prominence-vote', 'positive-vote'], 'Nazanin': ['hidden-information-sum', 'confirmshaming-vote', 'positive-vote'], 'Nina': ['positive-vote']}"
218,consensus,['no-dd'],
219,disagreement,,"{'Isha': ['visual-prominence-vote'], 'Nazanin': ['positive-vote'], 'Nina': ['no-dd']}"
220,consensus,['no-dd'],
221,consensus,['forced-registration-sum'],
222,disagreement,,"{'Isha': ['hidden-information-sum', 'forced-registration-sum', 'positive-vote'], 'Nazanin': ['hidden-information-sum', 'positive-vote', 'information-without-context-vote', 'visual-prominence-vote', 'forced-registration-sum'], 'Nina': ['no-dd']}"
224,disagreement,,"{'Isha': ['information-without-context-vote'], 'Nazanin': ['disguised-ad-vote', 'hidden-information-sum', 'false-hierarchy-vote', 'positive-vote'], 'Nina': ['positive-vote']}"
225,disagreement,,"{'Isha': ['positive-vote'], 'Nazanin': ['confirmshaming-vote'], 'Nina': ['no-dd']}"
226,disagreement,,"{'Isha': ['forced-registration-sum', 'hidden-information-sum'], 'Nazanin': ['forced-registration-sum'], 'Nina': ['forced-registration-sum']}"
227,disagreement,,"{'Isha': ['forced-registration-sum', 'hidden-information-sum'], 'Nazanin': ['forced-registration-sum', 'no-way-back', 'hidden-information-sum', 'dead-end-vote'], 'Nina': ['forced-registration-sum', 'hidden-information-sum']}"
228,disagreement,,"{'Isha': ['visual-prominence-vote', 'high-demand-vote'], 'Nazanin': ['activity-messages-vote'], 'Nina': ['visual-prominence-vote', 'conflicting-information-vote']}"
229,disagreement,,"{'Isha': ['false-hierarchy-vote', 'high-demand-vote', 'limited-time-vote'], 'Nazanin': ['visual-prominence-vote', 'limited-time-vote'], 'Nina': ['visual-prominence-vote', 'limited-time-vote']}"
231,disagreement,,"{'Isha': ['visual-prominence-vote', 'endorsement-vote'], 'Nazanin': ['no-dd'], 'Nina': ['no-dd']}"
232,disagreement,,"{'Isha': ['visual-prominence-vote', 'no-way-back', 'limited-time-vote'], 'Nazanin': ['no-dd'], 'Nina': ['limited-time-vote']}"
233,disagreement,,"{'Isha': ['no-dd'], 'Nazanin': ['extra-burden'], 'Nina': ['no-dd']}"
234,disagreement,,"{'Isha': ['endorsement-vote', 'hidden-information-sum'], 'Nazanin': ['information-without-context-vote', 'hidden-information-sum'], 'Nina': ['hidden-information-sum']}"
236,disagreement,,"{'Isha': ['forced-registration-sum', 'hidden-information-sum'], 'Nazanin': ['forced-registration-sum'], 'Nina': ['forced-registration-sum']}"
237,disagreement,,"{'Isha': ['forced-registration-sum', 'hidden-information-sum'], 'Nazanin': ['forced-registration-sum'], 'Nina': ['forced-registration-sum', 'hidden-information-sum']}"
239,disagreement,,"{'Isha': ['visual-prominence-vote', 'positive-vote'], 'Nazanin': ['no-way-back'], 'Nina': ['no-dd']}"
240,disagreement,,"{'Isha': ['positive-vote'], 'Nazanin': ['no-dd'], 'Nina': ['no-dd']}"
241,consensus,['no-dd'],
242,disagreement,,"{'Isha': ['extra-burden', 'positive-vote'], 'Nazanin': ['confirmshaming-vote'], 'Nina': ['no-dd']}"
243,consensus,['no-dd'],
244,disagreement,,"{'Isha': ['visual-prominence-vote', 'parasocial-vote'], 'Nazanin': ['parasocial-vote', 'confirmshaming-vote'], 'Nina': ['visual-prominence-vote']}"
245,disagreement,,"{'Isha': ['no-dd'], 'Nazanin': ['dead-end-vote'], 'Nina': ['no-dd']}"
246,disagreement,,"{'Isha': ['no-dd'], 'Nazanin': ['dead-end-vote'], 'Nina': ['no-dd']}"
247,disagreement,,"{'Isha': ['no-way-back'], 'Nazanin': ['confirmshaming-vote', 'no-way-back'], 'Nina': ['no-dd']}"
248,consensus,['no-dd'],
249,consensus,['hidden-information-sum'],
250,disagreement,,"{'Isha': ['no-way-back', 'positive-vote'], 'Nazanin': ['no-way-back'], 'Nina': ['no-dd']}"
251,disagreement,,"{'Isha': ['bundling-vote', 'positive-vote'], 'Nazanin': ['bundling-vote', 'confirmshaming-vote'], 'Nina': ['visual-prominence-vote', 'hidden-information-sum']}"
252,consensus,['forced-registration-sum'],
253,disagreement,,"{'Isha': ['extra-burden', 'positive-vote'], 'Nazanin': ['confirmshaming-vote'], 'Nina': ['no-dd']}"
254,consensus,['no-dd'],
255,consensus,['no-dd'],
256,disagreement,,"{'Isha': ['visual-prominence-vote', 'limited-time-vote'], 'Nazanin': ['visual-prominence-vote', 'positive-vote', 'limited-time-vote'], 'Nina': ['visual-prominence-vote', 'limited-time-vote']}"
258,disagreement,,"{'Isha': ['visual-prominence-vote', 'limited-time-vote'], 'Nazanin': ['visual-prominence-vote', 'pressured-selling-vote', 'limited-time-vote'], 'Nina': ['visual-prominence-vote', 'countdown-timer-vote']}"
260,consensus,"['confirmshaming-vote', 'positive-vote']",
261,consensus,['no-dd'],
262,disagreement,,"{'Isha': ['forced-registration-sum', 'hidden-information-sum'], 'Nazanin': ['forced-registration-sum'], 'Nina': ['no-dd']}"
263,disagreement,,"{'Isha': ['positive-vote'], 'Nazanin': ['hidden-information-sum'], 'Nina': ['no-dd']}"
264,consensus,['no-dd'],
265,disagreement,,"{'Isha': ['high-demand-vote', 'positive-vote'], 'Nazanin': ['hidden-information-sum', 'high-demand-vote', 'positive-vote'], 'Nina': ['high-demand-vote']}"
266,consensus,['no-dd'],
267,disagreement,,"{'Isha': ['no-way-back'], 'Nazanin': ['no-way-back'], 'Nina': ['no-dd']}"
268,disagreement,,"{'Isha': ['disguised-ad-vote', 'false-hierarchy-vote', 'hidden-information-sum'], 'Nazanin': ['disguised-ad-vote', 'visual-prominence-vote', 'hidden-information-sum'], 'Nina': ['no-dd']}"
269,consensus,['no-dd'],
270,disagreement,,"{'Isha': ['confirmshaming-vote', 'positive-vote'], 'Nazanin': ['no-dd'], 'Nina': ['no-dd']}"
271,disagreement,,"{'Isha': ['no-dd'], 'Nazanin': ['extra-burden'], 'Nina': ['no-dd']}"
272,disagreement,,"{'Isha': ['visual-prominence-vote', 'parasocial-vote', 'limited-time-vote'], 'Nazanin': ['visual-prominence-vote', 'confirmshaming-vote', 'limited-time-vote'], 'Nina': ['limited-time-vote']}"
273,disagreement,,"{'Isha': ['confirmshaming-vote', 'positive-vote'], 'Nazanin': ['confirmshaming-vote', 'positive-vote'], 'Nina': ['confirmshaming-vote']}"
274,disagreement,,"{'Isha': ['visual-prominence-vote'], 'Nazanin': ['extra-burden'], 'Nina': ['visual-prominence-vote']}"
275,consensus,['forced-registration-sum'],
276,disagreement,,"{'Isha': ['disguised-ad-vote', 'positive-vote'], 'Nazanin': ['disguised-ad-vote', 'visual-prominence-vote', 'positive-vote'], 'Nina': ['positive-vote']}"
277,disagreement,,"{'Isha': ['high-demand-vote', 'positive-vote'], 'Nazanin': ['high-demand-vote', 'positive-vote'], 'Nina': ['high-demand-vote']}"
278,disagreement,,"{'Isha': ['no-way-back'], 'Nazanin': ['extra-burden'], 'Nina': ['no-dd']}"
279,consensus,['no-dd'],
280,disagreement,,"{'Isha': ['forced-registration-sum', 'hidden-information-sum'], 'Nazanin': ['forced-registration-sum'], 'Nina': ['forced-registration-sum']}"
281,disagreement,,"{'Isha': ['no-way-back'], 'Nazanin': ['no-way-back'], 'Nina': ['no-dd']}"
282,consensus,['visual-prominence-vote'],
283,consensus,['no-dd'],
284,consensus,['no-dd'],
285,disagreement,,"{'Isha': ['forced-registration-sum', 'hidden-information-sum'], 'Nazanin': ['forced-registration-sum'], 'Nina': ['forced-registration-sum']}"
286,disagreement,,"{'Isha': ['no-dd'], 'Nazanin': ['visual-prominence-vote'], 'Nina': ['no-dd']}"
